trial_id,pt_test_acc,pt_gaussian_accuracy,pt_deepfool_accuracy,tf_test_acc,tf_gaussian_accuracy,tf_deepfool_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
db234446,0.19107490856396525,0.1909329948803633,0.10110479189426558,0.19179999828338623,0.010289612921191887,0.00798256324572115,0.11553081163148224,0.23659896850585938,True,,,2,04af264d46e04e2da17b23a4a32b8506,2021-01-10_12-17-34,1610281054,836.7906460762024,225890,thetagpu18,140.221.68.28,836.7906460762024,0,2,"1_adam_epsilon=0.52953,batch_size=540,dropout=0.8124,epochs=79,learning_rate=0.074553",0.0745527911837848,0.8123994835768225,540,0.5295323414447551,79
db34496c,0.0455406093343491,0.04567858648576136,0.037376873251312705,0.009999999776482582,0.0099651220727454,0.0099651220727454,0.026421052165566093,0.010387659072875977,True,,,2,212924a8d2bb4c5e842849f4d8b8e5e6,2021-01-10_12-48-01,1610282881,2664.1828293800354,225896,thetagpu18,140.221.68.28,2664.1828293800354,0,2,"2_adam_epsilon=0.17041,batch_size=45,dropout=0.50486,epochs=71,learning_rate=0.061524",0.061523860553408076,0.5048632161812657,45,0.1704101924084689,71
db35f442,0.2580203000456095,0.2582505595091408,0.14181722167992192,0.18209999799728394,0.010247704240839256,0.00739712232847245,0.14297215096687796,0.2520022392272949,True,,,2,baa70647c17d4a4fb49f08b86e092cc3,2021-01-10_12-17-52,1610281072,854.8028597831726,225869,thetagpu18,140.221.68.28,854.8028597831726,0,2,"3_adam_epsilon=0.52255,batch_size=253,dropout=0.60749,epochs=63,learning_rate=0.088261",0.08826054672241379,0.6074871594609699,253,0.5225492319853688,63
db378d16,0.2523801721194211,0.2526063606589093,0.13338056697362,0.009999999776482582,0.009957749530550345,0.009957749530550345,0.11138043309825561,0.6055741310119629,True,,,2,5ab28258453341e5bbc92b6b91f4319f,2021-01-10_12-20-37,1610281237,1019.9180073738098,225884,thetagpu18,140.221.68.28,1019.9180073738098,0,2,"4_adam_epsilon=0.087719,batch_size=602,dropout=0.54464,epochs=93,learning_rate=0.078011",0.07801074420212564,0.5446358661603083,602,0.08771924688071084,93
db392626,0.2389040046161221,0.23901835630362642,0.12579449310891205,0.13179999589920044,0.010134832132500222,0.0075114353194415395,0.12552718622996714,0.00962519645690918,True,,,2,c8116acdfb2745c6839e8a39f5baae03,2021-01-10_12-20-57,1610281257,1039.6668438911438,225862,thetagpu18,140.221.68.28,1039.6668438911438,0,2,"5_adam_epsilon=0.4243,batch_size=332,dropout=0.78801,epochs=84,learning_rate=0.067101",0.06710050611955663,0.78801229798855,332,0.42429971208135314,84
db408826,0.2389092431181953,0.2390860771266378,0.13698373734162578,0.009999999776482582,0.00996927650670567,0.00996927650670567,0.10748626839605879,0.00953054428100586,True,,,2,f56a1372bf0d48459bf7a2087cffb183,2021-01-10_12-17-34,1610281054,837.1914472579956,225867,thetagpu18,140.221.68.28,837.1914472579956,0,2,"6_adam_epsilon=0.066192,batch_size=479,dropout=0.63977,epochs=71,learning_rate=0.073876",0.0738762396170705,0.6397724415650685,479,0.06619226383044755,71
db422e42,0.10176091258014952,0.10196314102564102,0.05574061355311356,0.009999999776482582,0.009920634920634903,0.009920634920634903,0.048217656129442746,0.01060628890991211,True,,,2,7d3253bf229842829d5c3a198e9d0445,2021-01-10_12-23-48,1610281428,1210.9183278083801,225866,thetagpu18,140.221.68.28,1210.9183278083801,0,2,"7_adam_epsilon=0.084511,batch_size=144,dropout=0.75202,epochs=62,learning_rate=0.049146",0.04914577654334535,0.7520164746350391,144,0.08451136753329395,62
db43ae5c,0.22735086810298083,0.22743958950247514,0.12229574960253772,0.21289999783039093,0.013162782461930284,0.008339549567877524,0.1352480895113654,1.648571252822876,True,,,2,c678b1420e2641b49c3e35babffd91a6,2021-01-10_12-19-31,1610281171,953.5393433570862,225870,thetagpu18,140.221.68.28,953.5393433570862,0,2,"8_adam_epsilon=0.56412,batch_size=249,dropout=0.46256,epochs=69,learning_rate=0.046855",0.046854684513512275,0.4625557808915181,249,0.5641240515646375,69
db45672e,0.009989011900644777,0.009989012086704618,0.009989012086704618,0.009999999776482582,0.010043951653181496,0.009921009965960516,0.009988666244946435,0.009862661361694336,True,,,2,06e038c874a04a5d861cc94a0cddb061,2021-01-10_12-52-38,1610283158,2094.938788175583,225865,thetagpu18,140.221.68.28,2094.938788175583,0,2,"9_adam_epsilon=0.60613,batch_size=71,dropout=0.84507,epochs=81,learning_rate=0.075816",0.07581646853611168,0.8450710780353663,71,0.6061306712804114,81
d20243ce,0.21576941826126791,0.21580116819522432,0.11716622214695964,0.21250000596046448,0.017061410429599747,0.009097259372438242,0.13123258072765906,0.00948190689086914,True,,,2,dc32497232b649eb812599f625abea64,2021-01-10_12-27-58,1610281678,615.006903886795,225864,thetagpu18,140.221.68.28,615.006903886795,0,2,"10_adam_epsilon=0.37989,batch_size=474,dropout=0.53896,epochs=62,learning_rate=0.048182",0.048181854252817916,0.5389605939203579,474,0.3798941741482257,62
