trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
84db4cc0,tf,0.11259999871253967,0.01000072495287806,0.01000072495287806,0.10100000351667404,0.01000072495287805,0.01000072495287805,0.0038666650652885506,0.010204076766967773,True,,,2,b9553e6fbc784133828f23b7f76578c7,2021-01-12_07-58-17,1610438297,171.02292680740356,15358,thetagpu07,140.221.68.17,171.02292680740356,0,2,"1_adam_epsilon=0.52953,batch_size=912,dropout=0.8124,epochs=45,learning_rate=0.037053",0.03705279493378479,0.8123994835768225,912,0.5295323414447551,45
84e3caee,tf,0.23430000245571136,0.010097789738869059,0.007398143926085394,0.2540999948978424,0.009997869674920218,0.00722151261499734,0.006507813689031375,0.010978460311889648,True,,,2,09356c66732e46d6aa03fec0c21470e3,2021-01-12_07-57-49,1610438269,143.02987909317017,15357,thetagpu07,140.221.68.17,143.02987909317017,0,2,"2_adam_epsilon=0.17041,batch_size=417,dropout=0.50486,epochs=37,learning_rate=0.024024",0.02402386430340808,0.5048632161812657,417,0.1704101924084689,37
84e59cd4,tf,0.26570001244544983,0.01718461538461539,0.010092307692307692,0.27559998631477356,0.010500000000000002,0.007207692307692304,0.00011024770003098538,0.014304399490356445,True,,,2,1e2b31b217a34bd786cecf0a49021568,2021-01-12_07-56-43,1610438203,76.95276403427124,15350,thetagpu07,140.221.68.17,76.95276403427124,0,2,"3_adam_epsilon=0.52255,batch_size=625,dropout=0.60749,epochs=29,learning_rate=0.050761",0.05076055047241379,0.6074871594609699,625,0.5225492319853688,29
84e746ec,tf,0.1973000019788742,0.01010252581094469,0.009429458552819786,0.19509999454021454,0.01457259373070459,0.008505875738540407,0.0004488258889402824,0.010387420654296875,True,,,2,9222b149af7446ea9ef19a8705411d43,2021-01-12_07-57-59,1610438279,153.05696201324463,15347,thetagpu07,140.221.68.17,153.05696201324463,0,2,"4_adam_epsilon=0.087719,batch_size=974,dropout=0.54464,epochs=59,learning_rate=0.040511",0.040510747952125635,0.5446358661603083,974,0.08771924688071084,59
84e8eb82,tf,0.1151999980211258,0.009469696969696965,0.009469696969696965,0.17270000278949738,0.010206228956228943,0.00942922817922817,0.019398689321478257,0.010620594024658203,True,,,2,9ecdd319067543369f098ca63d3e7a4f,2021-01-12_07-58-49,1610438329,202.93815445899963,15354,thetagpu07,140.221.68.17,202.93815445899963,0,2,"5_adam_epsilon=0.4243,batch_size=704,dropout=0.78801,epochs=50,learning_rate=0.029601",0.029600509869556632,0.78801229798855,704,0.42429971208135314,50
84eaab02,tf,0.07370000332593918,0.010393171446447616,0.009205729352698117,0.19249999523162842,0.014338364460838424,0.00846331281113887,0.040667589459506936,0.010534524917602539,True,,,2,6ab9f0cf88f24b5c8c322ad4a5e8e909,2021-01-12_07-57-34,1610438254,128.68529415130615,15348,thetagpu07,140.221.68.17,128.68529415130615,0,2,"6_adam_epsilon=0.066192,batch_size=851,dropout=0.63977,epochs=37,learning_rate=0.036376",0.03637624336707051,0.6397724415650685,851,0.06619226383044755,37
84ec70fe,tf,0.21199999749660492,0.010164530928650545,0.008131928979105058,0.18930000066757202,0.010006328112640423,0.007428839156413902,0.007853763155911395,0.012130498886108398,True,,,2,342e2a7f2b644b27aacc64b4d222d5da,2021-01-12_07-57-13,1610438233,98.23054027557373,87896,thetagpu07,140.221.68.17,98.23054027557373,0,2,"7_adam_epsilon=0.084511,batch_size=516,dropout=0.75202,epochs=28,learning_rate=0.011646",0.011645780293345355,0.7520164746350391,516,0.08451136753329395,28
84ee20fc,tf,0.31529998779296875,0.025545163252963757,0.015094796744413105,0.32499998807907104,0.02936235345122813,0.01653614808985653,0.004986180609936705,0.009851455688476562,True,,,2,c09c46e3055d4cf6a5966d9f0fda6360,2021-01-12_07-56-52,1610438212,76.88870286941528,87936,thetagpu07,140.221.68.17,76.88870286941528,0,2,"8_adam_epsilon=0.56412,batch_size=621,dropout=0.46256,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.4625557808915181,621,0.5641240515646375,35
84efbe3a,tf,0.1624000072479248,0.01010662262761371,0.009238594679277581,0.15469999611377716,0.010033593430618019,0.009435419808502415,0.002525405067306169,0.010512113571166992,True,,,2,22e11a7d4b904e6d8863d9cc3bb765e5,2021-01-12_08-00-51,1610438451,244.07025384902954,91254,thetagpu07,140.221.68.17,244.07025384902954,0,2,"9_adam_epsilon=0.60613,batch_size=443,dropout=0.84507,epochs=47,learning_rate=0.038316",0.03831647228611167,0.8450710780353663,443,0.6061306712804114,47
b5db2cfa,tf,0.2361000031232834,0.014244490178023797,0.009038212169918616,0.24269999563694,0.01727071501429218,0.010985383072880764,0.00385779608429572,0.00859689712524414,True,,,2,0f0286ddada041a9aa25d3912424846c,2021-01-12_07-58-00,1610438280,63.479097843170166,87933,thetagpu07,140.221.68.17,63.479097843170166,0,2,"10_adam_epsilon=0.37989,batch_size=846,dropout=0.53896,epochs=28,learning_rate=0.010682",0.010681858002817917,0.5389605939203579,846,0.3798941741482257,28
