trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
a25a4134,tf,0.20360000431537628,0.009927596769702037,0.00742722190090612,0.19179999828338623,0.010213032581453627,0.007020757020757025,0.003973678366795852,0.012241125106811523,True,,,2,31fccaab3a314fd1ac34923a22e91a8e,2021-01-12_03-49-00,1610423340,197.38328623771667,15632,thetagpu07,140.221.68.17,197.38328623771667,0,2,"1_adam_epsilon=0.90453,batch_size=540,dropout=0.8124,epochs=79,learning_rate=0.074553",0.0745527911837848,0.8123994835768225,540,0.9045323376947552,79
a25ffc82,tf,0.009999999776482582,0.0099651220727454,0.0099651220727454,0.009999999776482582,0.009965122072745398,0.009965122072745398,0.0,0.010386228561401367,True,,,2,52e6a8d8e0f845dab08aace1907b2858,2021-01-12_04-06-16,1610424376,1233.9129910469055,15492,thetagpu07,140.221.68.17,1233.9129910469055,0,2,"2_adam_epsilon=0.54541,batch_size=45,dropout=0.50486,epochs=71,learning_rate=0.061524",0.061523860553408076,0.5048632161812657,45,0.545410188658469,71
a262a130,tf,0.21459999680519104,0.012636505371059144,0.008158546259232773,0.21080000698566437,0.01118675374968281,0.007024325788627858,0.002127987303835982,0.00994110107421875,True,,,2,4f4c13a1d29d441b87477ae5df2e8a56,2021-01-12_03-49-35,1610423375,233.13396763801575,15609,thetagpu07,140.221.68.17,233.13396763801575,0,2,"3_adam_epsilon=0.89755,batch_size=253,dropout=0.60749,epochs=63,learning_rate=0.088261",0.08826054672241379,0.6074871594609699,253,0.8975492282353689,63
a26474ba,tf,0.1873999983072281,0.016160514528592802,0.009031064397447568,0.1923999935388565,0.010055463034556589,0.007745224946943852,0.0007969652376371705,0.009427785873413086,True,,,2,2096b42fceab4c748eaad96042dba1f6,2021-01-12_03-49-14,1610423354,211.95315313339233,15481,thetagpu07,140.221.68.17,211.95315313339233,0,2,"4_adam_epsilon=0.46272,batch_size=602,dropout=0.54464,epochs=93,learning_rate=0.078011",0.07801074420212564,0.5446358661603083,602,0.4627192431307109,93
a2666342,tf,0.2061000019311905,0.014617776316182838,0.008446440850249629,0.2029999941587448,0.012264193249424498,0.007955394780112996,0.0019815456364468825,0.00992274284362793,True,,,2,f94de18c53204efbb14de3a67d24233f,2021-01-12_03-49-32,1610423372,229.15568661689758,15604,thetagpu07,140.221.68.17,229.15568661689758,0,2,"5_adam_epsilon=0.7993,batch_size=332,dropout=0.78801,epochs=84,learning_rate=0.067101",0.06710050611955663,0.78801229798855,332,0.7992997083313532,84
a2690868,tf,0.1898999959230423,0.014019300777427815,0.007897197742112732,0.186599999666214,0.01359504564097467,0.008208838912686206,0.001137536740902667,0.011236429214477539,True,,,2,4ed33210df6946ab9c9d670a3372c424,2021-01-12_03-48-34,1610423314,172.03999376296997,15554,thetagpu07,140.221.68.17,172.03999376296997,0,2,"6_adam_epsilon=0.44119,batch_size=479,dropout=0.63977,epochs=71,learning_rate=0.073876",0.0738762396170705,0.6397724415650685,479,0.44119226008044765,71
a26ae552,tf,0.1031000018119812,0.010342261904761885,0.00893238705738704,0.16110000014305115,0.011912393162393148,0.007318376068376056,0.019318706199896743,0.009602546691894531,True,,,2,4744938202b946cc91f1e3b172df43e7,2021-01-12_03-52-52,1610423572,429.34299087524414,15499,thetagpu07,140.221.68.17,429.34299087524414,0,2,"7_adam_epsilon=0.45951,batch_size=144,dropout=0.75202,epochs=62,learning_rate=0.049146",0.04914577654334535,0.7520164746350391,144,0.45951136378329405,62
a26cd1b4,tf,0.28369998931884766,0.022084585998779355,0.012221493855346351,0.2754000127315521,0.02078106045193909,0.011558428837300424,0.003422189050727234,0.008512020111083984,True,,,2,dc91689c3a964ba5a36b0a5ad443ff9b,2021-01-12_03-49-15,1610423355,212.17991518974304,15415,thetagpu07,140.221.68.17,212.17991518974304,0,2,"8_adam_epsilon=0.93912,batch_size=249,dropout=0.46256,epochs=69,learning_rate=0.046855",0.046854684513512275,0.4625557808915181,249,0.9391240478146375,69
a26eca78,tf,0.009999999776482582,0.009989012086704612,0.009989012086704612,0.009999999776482582,0.009989012086704614,0.007645436174054685,0.0007811919708833083,0.009965181350708008,True,,,2,bd319bd1a461471794bfb91b68a68fff,2021-01-12_04-01-35,1610424095,776.020446062088,15529,thetagpu07,140.221.68.17,776.020446062088,0,2,"9_adam_epsilon=0.98113,batch_size=71,dropout=0.84507,epochs=81,learning_rate=0.075816",0.07581646853611168,0.8450710780353663,71,0.9811306675304114,81
0bc4e70a,tf,0.2547000050544739,0.011551418678551322,0.007832013885948926,0.25290000438690186,0.02138441268876051,0.011542438482449487,0.003914472646379244,0.010648250579833984,True,,,2,ba3c7451a8f246f582fa0196811ab72d,2021-01-12_03-51-22,1610423482,137.93176865577698,15627,thetagpu07,140.221.68.17,137.93176865577698,0,2,"10_adam_epsilon=0.75489,batch_size=474,dropout=0.53896,epochs=62,learning_rate=0.048182",0.048181854252817916,0.5389605939203579,474,0.7548941703982257,62
