trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
6e05cf68,tf,0.29339998960494995,0.015724139408349935,0.009068076173339327,0.2904999852180481,0.013442795021742388,0.008110554163185752,0.0020462902612209816,0.010083675384521484,True,,,2,7e5b4d85d0dc4470bfa4fef79963a6b3,2021-01-12_07-42-07,1610437327,99.24731254577637,15385,thetagpu07,140.221.68.17,99.24731254577637,0,2,"1_adam_epsilon=0.90453,batch_size=540,dropout=0.4749,epochs=45,learning_rate=0.037053",0.03705279493378479,0.4748994835768224,540,0.9045323376947552,45
6e0b15f4,tf,0.18809999525547028,0.010647349660802581,0.006983250929439256,0.1768999993801117,0.010547698440075127,0.0073205319842091065,0.0036541220137720626,0.011541128158569336,True,,,2,151c5708fa8240d08093cebe8e73a1e6,2021-01-12_07-48-04,1610437684,456.25064420700073,15375,thetagpu07,140.221.68.17,456.25064420700073,0,2,"2_adam_epsilon=0.54541,batch_size=45,dropout=0.16736,epochs=37,learning_rate=0.024024",0.02402386430340808,0.16736321618126568,45,0.545410188658469,37
6e0d2f24,tf,0.29760000109672546,0.010939403845582335,0.007671504696676326,0.2782000005245209,0.01723865379471786,0.01052580142969159,0.003415484630017937,0.009551525115966797,True,,,2,5efd2c5e1368405880e647efdc66b007,2021-01-12_07-42-40,1610437360,131.78588199615479,15366,thetagpu07,140.221.68.17,131.78588199615479,0,2,"3_adam_epsilon=0.89755,batch_size=253,dropout=0.26999,epochs=29,learning_rate=0.050761",0.05076055047241379,0.2699871594609698,253,0.8975492282353689,29
6e0edd10,tf,0.3098999857902527,0.023634617182020985,0.013560730740145488,0.31310001015663147,0.02424144581998624,0.014333574294616347,0.0015265655196049638,0.01260828971862793,True,,,2,9791fd907d4b4d669df20e1534543c4f,2021-01-12_07-42-24,1610437344,115.99650025367737,15391,thetagpu07,140.221.68.17,115.99650025367737,0,2,"4_adam_epsilon=0.46272,batch_size=602,dropout=0.20714,epochs=59,learning_rate=0.040511",0.040510747952125635,0.20713586616030827,602,0.4627192431307109,59
6e108f48,tf,0.2833999991416931,0.01748109061556399,0.009902388711172223,0.2883000075817108,0.023259290262788127,0.012952554635415111,0.0045761246704949105,0.009967803955078125,True,,,2,fb97c4ef34314c82a3468bab0cf47f61,2021-01-12_07-42-46,1610437366,137.5849528312683,15376,thetagpu07,140.221.68.17,137.5849528312683,0,2,"5_adam_epsilon=0.7993,batch_size=332,dropout=0.45051,epochs=50,learning_rate=0.029601",0.029600509869556632,0.45051229798855,332,0.7992997083313532,50
6e122808,tf,0.28610000014305115,0.019391924640955363,0.011360172782779402,0.3052999973297119,0.023435576253947876,0.013716198968212094,0.008533224995028649,0.011797428131103516,True,,,2,1ce5b73db0ce4c1988ecaef5197548f8,2021-01-12_07-42-04,1610437324,95.75072884559631,15377,thetagpu07,140.221.68.17,95.75072884559631,0,2,"6_adam_epsilon=0.44119,batch_size=479,dropout=0.30227,epochs=37,learning_rate=0.036376",0.03637624336707051,0.30227244156506855,479,0.44119226008044765,37
6e13b9a2,tf,0.29429998993873596,0.016073336385836363,0.010120955433455422,0.28679999709129333,0.01086118742368741,0.007406135531135514,0.005142320570637168,0.010235071182250977,True,,,2,8219ca18143d488c8e87461cd18a48f6,2021-01-12_07-43-25,1610437405,176.86764550209045,15367,thetagpu07,140.221.68.17,176.86764550209045,0,2,"7_adam_epsilon=0.45951,batch_size=144,dropout=0.41452,epochs=28,learning_rate=0.011646",0.011645780293345355,0.414516474635039,144,0.45951136378329405,28
6e1556f4,tf,0.3521000146865845,0.02736593654166384,0.01612302870016652,0.3553999960422516,0.025625390869293305,0.015228079296548304,0.0002214954265594704,0.010505199432373047,True,,,2,80963d1fb2a14914b413d916bfd122a0,2021-01-12_07-42-39,1610437359,131.1405906677246,15362,thetagpu07,140.221.68.17,131.1405906677246,0,2,"8_adam_epsilon=0.93912,batch_size=249,dropout=0.12506,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.1250557808915181,249,0.9391240478146375,35
6e16dd3a,tf,0.21330000460147858,0.01824915669686421,0.01014268919573084,0.20960000157356262,0.010007325275530244,0.007621103965125534,0.004821139893285087,0.009573936462402344,True,,,2,3463ee09f0cb4c9298531c4b5806444b,2021-01-12_07-48-52,1610437732,404.0264630317688,15363,thetagpu07,140.221.68.17,404.0264630317688,0,2,"9_adam_epsilon=0.98113,batch_size=71,dropout=0.50757,epochs=47,learning_rate=0.038316",0.03831647228611167,0.5075710780353663,71,0.9811306675304114,47
aa01947a,tf,0.34290000796318054,0.025168603181811775,0.01557005643411809,0.35370001196861267,0.02449733352320033,0.014933424674756541,0.003164034195819704,0.008385896682739258,True,,,2,9f5a0394b9f84ef0967ac562a3f2da09,2021-01-12_07-43-28,1610437408,76.94394731521606,15364,thetagpu07,140.221.68.17,76.94394731521606,0,2,"10_adam_epsilon=0.75489,batch_size=474,dropout=0.20146,epochs=28,learning_rate=0.010682",0.010681858002817917,0.20146059392035784,474,0.7548941703982257,28
