trial_id,framework,test_acc1,tf_gaussian_accuracy1,tf_deepfool_accuracy1,test_acc2,tf_gaussian_accuracy2,tf_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
3ff99ace,tf,0.3240000009536743,0.017665986326273406,0.010552804452325981,0.313400000333786,0.01929963975418523,0.011138203901361806,0.0027936492476468844,0.010903596878051758,True,,,2,515a28710aca49fba2557f9b70ebcdda,2021-01-12_06-57-39,1610434659,84.9188380241394,15411,thetagpu07,140.221.68.17,84.9188380241394,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.4749,epochs=45,learning_rate=0.037053",0.03705279493378479,0.4748994835768224,912,0.9045323376947552,45
3ffeea88,tf,0.3343999981880188,0.024211945095043017,0.014725890906608932,0.33160001039505005,0.02586431888906779,0.015479735827662855,0.0001312563592966859,0.009094476699829102,True,,,2,2e14d8cd31db420fa9864da02b2c4318,2021-01-12_06-57-55,1610434675,100.77002906799316,15413,thetagpu07,140.221.68.17,100.77002906799316,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.16736,epochs=37,learning_rate=0.024024",0.02402386430340808,0.16736321618126568,417,0.545410188658469,37
4000a788,tf,0.33070001006126404,0.018900000000000007,0.01186923076923075,0.33629998564720154,0.021930769230769233,0.01313846153846153,0.0032999918619791707,0.011423587799072266,True,,,2,25b63180a812453b8321c1b0eced2760,2021-01-12_06-57-26,1610434646,71.99434733390808,15507,thetagpu07,140.221.68.17,71.99434733390808,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.26999,epochs=29,learning_rate=0.050761",0.05076055047241379,0.2699871594609698,625,0.8975492282353689,29
40025f1a,tf,0.31709998846054077,0.025777200212518493,0.015662248034701023,0.31529998779296875,0.025848996998894334,0.01501276325948573,0.0007925628854704853,0.010874271392822266,True,,,2,0ebae4af090449fb9872fc17c36c8968,2021-01-12_06-57-55,1610434675,100.61767649650574,15506,thetagpu07,140.221.68.17,100.61767649650574,0,2,"4_adam_epsilon=0.46272,batch_size=974,dropout=0.20714,epochs=59,learning_rate=0.040511",0.040510747952125635,0.20713586616030827,974,0.4627192431307109,59
4003fadc,tf,0.27410000562667847,0.0167921199171199,0.010716135716135722,0.2685999870300293,0.01905189717689718,0.010742845117845113,0.0010711773117208362,0.011825084686279297,True,,,2,7def36ede3e24cbb80b6735b4ce60d14,2021-01-12_06-57-49,1610434669,95.11145091056824,15418,thetagpu07,140.221.68.17,95.11145091056824,0,2,"5_adam_epsilon=0.7993,batch_size=704,dropout=0.45051,epochs=50,learning_rate=0.029601",0.029600509869556632,0.45051229798855,704,0.7992997083313532,50
40059932,tf,0.31459999084472656,0.021984948347471316,0.013145181546896173,0.3160000145435333,0.023642123917690366,0.01370020215703007,0.0012040732930532344,0.010548830032348633,True,,,2,424ba72cc3a549378a4e57b3e6ba52d1,2021-01-12_06-57-30,1610434650,76.32532072067261,15442,thetagpu07,140.221.68.17,76.32532072067261,0,2,"6_adam_epsilon=0.44119,batch_size=851,dropout=0.30227,epochs=37,learning_rate=0.036376",0.03637624336707051,0.30227244156506855,851,0.44119226008044765,37
40076820,tf,0.3301999866962433,0.02366668492083775,0.01445045817969406,0.3336000144481659,0.023085289572000556,0.014082484514378208,0.0008168862459231874,0.010976552963256836,True,,,2,f585fae49bdd49928903a0e856435dc0,2021-01-12_06-57-33,1610434653,79.09489607810974,15404,thetagpu07,140.221.68.17,79.09489607810974,0,2,"7_adam_epsilon=0.45951,batch_size=516,dropout=0.41452,epochs=28,learning_rate=0.011646",0.011645780293345355,0.414516474635039,516,0.45951136378329405,28
40090eb4,tf,0.34299999475479126,0.02877624944440801,0.016618462230674508,0.35409998893737793,0.028426499734044496,0.016835689589845597,0.00365582394379807,0.01053476333618164,True,,,2,9e2021b37b0542dcbd09c4100832d9b8,2021-01-12_06-57-36,1610434656,81.3915786743164,15400,thetagpu07,140.221.68.17,81.3915786743164,0,2,"8_adam_epsilon=0.93912,batch_size=621,dropout=0.12506,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.1250557808915181,621,0.9391240478146375,35
400ac290,tf,0.27649998664855957,0.010350826080001374,0.007181055756677292,0.28450000286102295,0.012907531601846848,0.008103001069014293,0.0038262223488819552,0.009763002395629883,True,,,2,5df60146037f4a4297ed489e0e26ab21,2021-01-12_06-59-32,1610434772,121.3367247581482,15422,thetagpu07,140.221.68.17,121.3367247581482,0,2,"9_adam_epsilon=0.98113,batch_size=443,dropout=0.50757,epochs=47,learning_rate=0.038316",0.03831647228611167,0.5075710780353663,443,0.9811306675304114,47
6dfa8da2,tf,0.2858000099658966,0.024515242401072335,0.014736785607163941,0.29350000619888306,0.02472777340181841,0.01511607909149143,0.002763940239353335,0.010879755020141602,True,,,2,ebd72b15f0ea4860ba223355301b5d62,2021-01-12_06-58-37,1610434717,62.816898345947266,15410,thetagpu07,140.221.68.17,62.816898345947266,0,2,"10_adam_epsilon=0.75489,batch_size=846,dropout=0.20146,epochs=28,learning_rate=0.010682",0.010681858002817917,0.20146059392035784,846,0.7548941703982257,28
