trial_id,pt_test_acc,pt_gaussian_accuracy,pt_deepfool_accuracy,tf_test_acc,tf_gaussian_accuracy,tf_deepfool_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
94162b92,0.00998622581193393,0.009986225895316815,0.008188621585750783,0.32019999623298645,0.32023245892863117,0.17518081997747068,0.14062905807201498,0.011957406997680664,True,,,2,bef99e29ac654c37b5d5c0c46f3b4b91,2021-01-15_08-53-58,1610700838,692.8916683197021,199272,thetagpu19,140.221.68.29,692.8916683197021,0,2,"1_adam_epsilon=0.52953,batch_size=912,dropout=0.4749,epochs=45,learning_rate=0.037053",0.03705279493378479,0.4748994835768224,912,0.5295323414447551,45
941c17d2,0.1943088552604119,0.19444750763241203,0.11113634952485633,0.2928999960422516,0.2927228839459935,0.16593918771321106,0.20857579668652274,0.009096384048461914,True,,,2,fccd1d3e115b4c69a3a1b3f2be69a912,2021-01-15_08-49-27,1610700567,421.9663202762604,199135,thetagpu19,140.221.68.29,421.9663202762604,0,2,"2_adam_epsilon=0.17041,batch_size=417,dropout=0.16736,epochs=37,learning_rate=0.024024",0.02402386430340808,0.16736321618126568,417,0.1704101924084689,37
941e0510,0.016100000240840018,0.01610000000000001,0.01216153846153846,0.33649998903274536,0.3364307692307692,0.18715384615384617,0.15074102385328986,0.009489059448242188,True,,,2,c575682cbe934b1896c174b515211287,2021-01-15_08-49-30,1610700570,424.387166261673,199234,thetagpu19,140.221.68.29,424.387166261673,0,2,"3_adam_epsilon=0.52255,batch_size=625,dropout=0.26999,epochs=29,learning_rate=0.050761",0.05076055047241379,0.2699871594609698,625,0.5225492319853688,29
941fc206,0.25676900012926623,0.2567241004138809,0.14350675386846606,0.30399999022483826,0.3027637896773894,0.17224623425855456,0.23933497809539925,0.06144452095031738,True,,,2,217fd58a7c334f69bb2c593ae27bbd43,2021-01-15_08-52-01,1610700721,575.1139974594116,199141,thetagpu19,140.221.68.29,575.1139974594116,0,2,"4_adam_epsilon=0.087719,batch_size=974,dropout=0.20714,epochs=59,learning_rate=0.040511",0.040510747952125635,0.20713586616030827,974,0.08771924688071084,59
94218dc0,0.019844275899231434,0.01982242294742294,0.014006248381248384,0.2955000102519989,0.2953266640766641,0.15972141284641284,0.1340368390671631,0.009447097778320312,True,,,2,1ecae4859c8846098da6a3152f79dc1b,2021-01-15_08-52-14,1610700734,589.0132532119751,199296,thetagpu19,140.221.68.29,589.0132532119751,0,2,"5_adam_epsilon=0.4243,batch_size=704,dropout=0.45051,epochs=50,learning_rate=0.029601",0.029600509869556632,0.45051229798855,704,0.42429971208135314,50
94233e0e,0.2217113015552362,0.22163104741181902,0.12534627047793,0.28439998626708984,0.2845008794182095,0.16227064833923377,0.21664335557825307,0.013622522354125977,True,,,2,79c7e1d680f44822b0f67cdc520cdd4c,2021-01-15_08-49-11,1610700551,405.2501118183136,199177,thetagpu19,140.221.68.29,405.2501118183136,0,2,"6_adam_epsilon=0.066192,batch_size=851,dropout=0.30227,epochs=37,learning_rate=0.036376",0.03637624336707051,0.30227244156506855,851,0.06619226383044755,37
94250928,0.06254746112972498,0.06236933055869935,0.03623452959001132,0.30559998750686646,0.3037054446107602,0.17003577817531307,0.1567487552618959,0.025019168853759766,True,,,2,a35b53491f5643d4a303ca73642d95fb,2021-01-15_08-46-36,1610700396,250.4429407119751,199303,thetagpu19,140.221.68.29,250.4429407119751,0,2,"7_adam_epsilon=0.084511,batch_size=516,dropout=0.41452,epochs=28,learning_rate=0.011646",0.011645780293345355,0.414516474635039,516,0.08451136753329395,28
9426dc76,0.009282940259093748,0.009282940229231791,0.006397505118732742,0.2694999873638153,0.26746892783497644,0.14523504728907538,0.11786122468248757,0.011902093887329102,True,,,2,e8daef6886694163800bfd51b7e5620a,2021-01-15_08-49-09,1610700549,403.47345066070557,199252,thetagpu19,140.221.68.29,403.47345066070557,0,2,"8_adam_epsilon=0.56412,batch_size=621,dropout=0.12506,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.1250557808915181,621,0.5641240515646375,35
9428b618,0.054486350358828255,0.0544712504827744,0.031080298886478626,0.3050000071525574,0.30431510115985344,0.16562763289277832,0.1524967734888784,0.009831666946411133,True,,,2,76cf3f9b33b549f8b79e4e643e3ec543,2021-01-15_08-54-41,1610700881,477.8761365413666,199251,thetagpu19,140.221.68.29,477.8761365413666,0,2,"9_adam_epsilon=0.60613,batch_size=443,dropout=0.50757,epochs=47,learning_rate=0.038316",0.03831647228611167,0.5075710780353663,443,0.6061306712804114,47
2d4403ac,0.009979720537861189,0.009979720354360103,0.009706943485838568,0.23980000615119934,0.2396169445881261,0.13131094571556892,0.1067323801388257,0.01058506965637207,True,,,2,214900eb54064f3bba7efa5720b11ca3,2021-01-15_09-14-43,1610702083,1528.82688331604,199133,thetagpu19,140.221.68.29,1528.82688331604,0,2,"10_adam_epsilon=0.37989,batch_size=846,dropout=0.20146,epochs=28,learning_rate=0.010682",0.010681858002817917,0.20146059392035784,846,0.3798941741482257,28
