trial_id,pt_test_acc,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
6e4785a8,0.9667433033818784,0.9660000205039978,0.0007432828778806133,485.5501914024353,True,,,1,ce6b8219e9a947ac8c4f811a484b9c37,2020-12-14_14-17-24,1607984244,485.5501914024353,77151,lambda4,140.221.79.14,485.5501914024353,0,1,"7_adam_epsilon=0.62412,batch_size=146,dropout=0.80411,epochs=244,learning_rate=0.059232",0.05923151077305208,0.8041096589834531,146,0.6241243599489159,244
6e4785a9,0.9595818781271214,0.960099995136261,0.0005181170091396181,1031.6643793582916,True,,,1,0bb76eff92574840b9d5b707359f5129,2020-12-14_14-27-54,1607984874,1031.6643793582916,78859,lambda4,140.221.79.14,1031.6643793582916,0,1,"8_adam_epsilon=0.1904,batch_size=49,dropout=0.79556,epochs=218,learning_rate=0.05142",0.05141957247092259,0.7955587289052972,49,0.1904001106123392,218
6e4785aa,0.9794844809700461,0.9800999760627747,0.000615495092728513,212.15420603752136,True,,,1,b37420e2a314453987ce0452fe497063,2020-12-14_14-20-59,1607984459,212.15420603752136,5104,lambda4,140.221.79.14,212.15420603752136,0,1,"9_adam_epsilon=0.38447,batch_size=601,dropout=0.43814,epochs=162,learning_rate=0.066508",0.06650836390846551,0.43814115053360825,601,0.38447356568757646,162
6e4785ab,0.9786015933957594,0.9789999723434448,0.00039837894768546267,250.86991357803345,True,,,1,e178347185184a01ba029e89c035258a,2020-12-14_14-25-12,1607984712,250.86991357803345,10351,lambda4,140.221.79.14,250.86991357803345,0,1,"10_adam_epsilon=0.60121,batch_size=348,dropout=0.42317,epochs=174,learning_rate=0.042807",0.0428066922622018,0.4231729884285432,348,0.601214693313076,174
7cebe778,0.9685298037528992,0.9677000045776367,0.0008297991752624911,158.13627314567566,True,,,1,6547ddb43f334b46909d56e975c37006,2020-12-14_16-24-15,1607991855,158.13627314567566,27721,lambda4,140.221.79.14,158.13627314567566,0,1,"1_adam_epsilon=0.45727,batch_size=409,dropout=0.70914,epochs=111,learning_rate=0.030307",0.03030664722630392,0.7091358084698163,409,0.45726639477962483,111
7cebe779,0.95605429130442,0.9595000147819519,0.0034457234775319145,296.39784955978394,True,,,1,d24d50941b8943129d4dc0f8165d1a29,2020-12-14_16-26-33,1607991993,296.39784955978394,27717,lambda4,140.221.79.14,296.39784955978394,0,1,"2_adam_epsilon=0.45751,batch_size=607,dropout=0.58673,epochs=216,learning_rate=0.0062679",0.0062678511975365805,0.5867307014683435,607,0.45750515740743064,216
7cebe77a,0.9528734862804413,0.9487000107765198,0.004173475503921553,248.50825190544128,True,,,1,00bbf4c2af8b463fb7801a6907ffe1ec,2020-12-14_16-25-45,1607991945,248.50825190544128,27719,lambda4,140.221.79.14,248.50825190544128,0,1,"3_adam_epsilon=0.018297,batch_size=517,dropout=0.82302,epochs=184,learning_rate=0.048226",0.048225637574861896,0.8230247822628582,517,0.018296928484652728,184
7cebe77b,0.9813824777651314,0.9811000227928162,0.0002824549723152714,649.3515272140503,True,,,1,6de369c9281d4809bf98e1f4c7e88c36,2020-12-14_16-35-06,1607992506,649.3515272140503,27744,lambda4,140.221.79.14,649.3515272140503,0,1,"4_adam_epsilon=0.43434,batch_size=102,dropout=0.39533,epochs=241,learning_rate=0.029911",0.029910854657134084,0.3953260458801132,102,0.4343356179945899,241
7cebe77c,0.9692216953810524,0.9685999751091003,0.0006217202719520643,167.19347143173218,True,,,1,edaca28b639d4084986af39936ba0da1,2020-12-14_16-28-35,1607992115,167.19347143173218,27745,lambda4,140.221.79.14,167.19347143173218,0,1,"5_adam_epsilon=0.31616,batch_size=301,dropout=0.76479,epochs=104,learning_rate=0.053068",0.053067630784930146,0.7647867575474692,301,0.3161572775054544,104
7cebe77d,0.9712811147465426,0.972599983215332,0.0013188684687894803,189.25456380844116,True,,,1,a133b4f6c85f4a999c5c62302bdc3bb3,2020-12-14_16-29-44,1607992184,189.25456380844116,27746,lambda4,140.221.79.14,189.25456380844116,0,1,"6_adam_epsilon=0.61311,batch_size=606,dropout=0.62702,epochs=136,learning_rate=0.053813",0.05381271819639661,0.6270171488161029,606,0.6131103228772162,136
