trial_id,framework,test_acc1,pt_gaussian_accuracy1,pt_deepfool_accuracy1,test_acc2,pt_gaussian_accuracy2,pt_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
5adc53aa,pt,0.06058897293711964,0.060678405415247515,0.0350839706102864,0.06117376822390055,0.06103827945933208,0.03532495769337873,0.0003952188046525973,0.010554313659667969,True,,,2,320731189a1e42feaea521ef22020878,2021-01-12_20-46-12,1610484372,788.5243768692017,123606,thetagpu15,140.221.68.25,788.5243768692017,0,2,"1_adam_epsilon=0.90453,batch_size=540,dropout=0.4749,epochs=45,learning_rate=0.074553",0.0745527911837848,0.4748994835768224,540,0.9045323376947552,45
5ae5334e,pt,0.2696063848621642,0.269583381242574,0.14679391361005706,0.26512207979578606,0.26485378099727874,0.1442604729600245,0.003915781987235328,0.009302139282226562,True,,,2,2b0520f0a6fa48cc99771656f48173d5,2021-01-12_20-49-24,1610484564,981.053676366806,123534,thetagpu15,140.221.68.25,981.053676366806,0,2,"2_adam_epsilon=0.54541,batch_size=45,dropout=0.16736,epochs=37,learning_rate=0.061524",0.061523860553408076,0.16736321618126568,45,0.545410188658469,37
5ae9d502,pt,0.17764346674084663,0.17757357059416556,0.09966995247315613,0.17209055237472057,0.1719917382388778,0.0973931103221721,0.004470529624132608,0.010735034942626953,True,,,2,5d31f4d725884e35848ac60666c7f6f1,2021-01-12_20-41-17,1610484077,493.39277935028076,123582,thetagpu15,140.221.68.25,493.39277935028076,0,2,"3_adam_epsilon=0.89755,batch_size=253,dropout=0.26999,epochs=29,learning_rate=0.088261",0.08826054672241379,0.2699871594609698,253,0.8975492282353689,29
5aeb7c9a,pt,0.20957316107609691,0.2096797399056068,0.11584944898080567,0.20363122487769408,0.20353281703130033,0.11088219607668845,0.005685370658942174,0.010957002639770508,True,,,2,f9349d59d940468db4d1d026305fe984,2021-01-12_20-47-56,1610484476,892.5390682220459,123592,thetagpu15,140.221.68.25,892.5390682220459,0,2,"4_adam_epsilon=0.46272,batch_size=602,dropout=0.20714,epochs=59,learning_rate=0.078011",0.07801074420212564,0.20713586616030827,602,0.4627192431307109,59
5aed4552,pt,0.19280994995947806,0.1926978385004036,0.10746434870997636,0.17345511120173238,0.17346258483063767,0.09586086280606296,0.01673119277714169,0.009905815124511719,True,,,2,0f5f3ee05e25433887d9493792091e09,2021-01-12_20-45-16,1610484316,732.770035982132,123481,thetagpu15,140.221.68.25,732.770035982132,0,2,"5_adam_epsilon=0.7993,batch_size=332,dropout=0.45051,epochs=50,learning_rate=0.067101",0.06710050611955663,0.45051229798855,332,0.7992997083313532,50
5aeef8f2,pt,0.1895615848756972,0.18938355278945798,0.10740872442333824,0.17460767144248598,0.17467422063306345,0.09928753686582496,0.012594811049039673,0.010607481002807617,True,,,2,b8b80cfef281425683d31f100479731b,2021-01-12_20-44-08,1610484248,664.4587094783783,123613,thetagpu15,140.221.68.25,664.4587094783783,0,2,"6_adam_epsilon=0.44119,batch_size=479,dropout=0.30227,epochs=37,learning_rate=0.073876",0.0738762396170705,0.30227244156506855,479,0.44119226008044765,37
5af0a4fe,pt,0.24925595479352133,0.24914911477411478,0.14047046703296706,0.25136408827134543,0.25131639194139194,0.14251182844932847,0.002105590687154213,0.027098894119262695,True,,,2,29e4035e01994ad99e37c8f0a0348cd7,2021-01-12_20-41-03,1610484063,480.20927000045776,123524,thetagpu15,140.221.68.25,480.20927000045776,0,2,"7_adam_epsilon=0.45951,batch_size=144,dropout=0.41452,epochs=28,learning_rate=0.049146",0.04914577654334535,0.414516474635039,144,0.45951136378329405,28
5af24296,pt,0.08170486704968824,0.08175007723200495,0.046692398110264696,0.08180281992365675,0.08186309967826276,0.046499129727163815,5.902312375155594e-06,0.009687423706054688,True,,,2,86b3eacf670d4af2b349204bc75243e5,2021-01-12_20-44-24,1610484264,681.125360250473,123574,thetagpu15,140.221.68.25,681.125360250473,0,2,"8_adam_epsilon=0.93912,batch_size=249,dropout=0.12506,epochs=35,learning_rate=0.046855",0.046854684513512275,0.1250557808915181,249,0.9391240478146375,35
5af3fdd4,pt,0.27320114486183683,0.2731564509808441,0.14947147880920733,0.26219491787413335,0.26202100766080383,0.1424106559707399,0.009734164382070393,0.011937856674194336,True,,,2,938be54d2e674761b1b8235e6789b0d5,2021-01-12_20-57-54,1610485074,1005.8619511127472,123463,thetagpu15,140.221.68.25,1005.8619511127472,0,2,"9_adam_epsilon=0.98113,batch_size=71,dropout=0.50757,epochs=47,learning_rate=0.075816",0.07581646853611168,0.5075710780353663,71,0.9811306675304114,47
7cf4fd42,pt,0.012112039416520433,0.012089909723371463,0.009319839947247756,0.012399726420302282,0.012377596719919226,0.009327216536902832,0.00019425019666156375,0.010654926300048828,True,,,2,a6bda8b3bc084d33846b68c29e73f8af,2021-01-12_20-48-59,1610484539,458.1369752883911,123586,thetagpu15,140.221.68.25,458.1369752883911,0,2,"10_adam_epsilon=0.75489,batch_size=474,dropout=0.20146,epochs=28,learning_rate=0.048182",0.048181854252817916,0.20146059392035784,474,0.7548941703982257,28
